occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures
0.772,0.822,0.244,0.0959,0.497,0,0,0,0,0,0.25,0.316
1,0.954,0.379,0,0.806,0,0,0,0,0,0,0.18
1,0.99,0.493,0,0.977,0,0,0,0,0,0,0.0451
0.833,0.919,0.554,0.0702,0.846,0,0,0,0,0,0,0.135
1,0.957,0.88,0,0.855,0,0,0,0,0,0,0.496
1,0.896,0.931,0,0.661,0,0,0,0,0,0,0.242
1,0.712,0.447,0.204,0.319,0,0,0,0,0,0,0.105
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.894,0.577,0.0173,0.386,0.0514,0,0,0,0,0,0,0.0677
0.772,0.618,0.0265,0.262,0.0821,0,0,0,0,0,0.317,0.327
1,0.673,0.0481,0.14,0.2,0,0,0,0,0,0.45,0.378
1,0.707,0.0675,0.14,0.297,0,0,0,0,0,0.317,0.622
1,0.731,0.0849,0.14,0.336,0,0,0,0,0,0.45,0.265
1,0.807,0.136,0.0257,0.471,0.693,0.267,0,0,0,0,0.22
1,0.822,0.164,0,0.496,0.271,0,0,0,0,0,0.66
1,0.822,0.182,0,0.48,0,0,0,0,0,0,0.323
0.956,0.811,0.188,0.0187,0.446,0,0,0,0,0,0,0.257
0.333,0.651,0.0828,0.281,0.186,0,0,0,0,0,0,0.255
0.333,0.651,0.0891,0.281,0.188,0,0,0,0,0,0,0.0451
0.333,0.658,0.0965,0.281,0.202,0,0,0,0,0,0,0.18
0.522,0.742,0.173,0.201,0.36,0.515,0.533,0,0,0,0,0
0.772,0.868,0.3,0.0959,0.644,0.476,0,0,0,0,0.25,0.0902
1,0.99,0.493,0,0.977,0.799,0.317,0,0,0,0,0.0902
0.811,0.831,0.393,0.159,0.652,0.729,0.217,0,0,0,0,0.109
0.939,0.801,0.546,0.166,0.531,0.398,0.533,0,0,0,0,0
1,0.729,0.457,0.22,0.358,0.201,0,0,0,0,0,0
1,0.649,0.246,0.281,0.215,0,0,0,0,0,0,0
1,0.627,0.135,0.281,0.156,0,0,0,0,0,0,0
1,0.603,0.0593,0.316,0.0886,0,0,0,0,0,0,0.0902
1,0.601,0.0339,0.313,0.0619,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.756,0.628,0.0599,0.318,0.158,0,0,0,0,0,0,0.432
0.667,0.651,0.0898,0.281,0.201,0,0,0,0,0,0,0.299
0.667,0.714,0.175,0.178,0.306,0,0,0,0,0,0,0.151
0.667,0.737,0.218,0.14,0.335,0,0,0,0,0,0,0.177
0.589,0.717,0.209,0.173,0.293,0,0,0,0,0,0,0.231
