occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures
0.667,0.59,0.043,0.281,0.178,0,0,0,0,0,0,0.297
0.394,0.57,0.022,0.395,0.0747,0,0,0,0,0,0,0
0.228,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.189,0.581,0.0425,0.342,0.119,0,0,0,0,0,0,0
0.333,0.594,0.0658,0.281,0.168,0,0,0,0,0,0,0
0.333,0.594,0.0703,0.281,0.164,0,0,0,0,0,0,0.0451
0.333,0.594,0.0766,0.281,0.164,0,0,0,0,0,0,0.135
0.439,0.597,0.0818,0.281,0.164,0,0,0,0,0,0,0.226
0.667,0.609,0.0933,0.281,0.165,0,0,0,0,0,0.233,0.424
0.772,0.647,0.148,0.236,0.208,0,0,0,0,0,0.233,0.197
0.894,0.744,0.321,0.0702,0.375,0,0,0,0,0,0,0.331
0.772,0.735,0.429,0.0959,0.435,0,0,0,0,0,0,0.226
1,0.766,0.711,0,0.682,0,0,0,0,0,0,0
1,0.713,0.724,0.0444,0.741,0,0,0,0,0,0,0
1,0.605,0.283,0.255,0.357,0,0,0,0,0,0,0.0691
1,0.568,0.0439,0.395,0.0855,0,0,0,0,0,0,0.0691
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.57,0.0266,0.332,0.112,0,0,0,0,0,0,0.187
0.978,0.59,0.0525,0.15,0.254,0,0,0,0,0,0,0.181
0.667,0.59,0.043,0.281,0.178,0,0,0,0,0,0,0
0.667,0.594,0.0498,0.281,0.18,0,0,0,0,0,0,0.39
0.667,0.594,0.056,0.281,0.178,0,0,0,0,0,0,0.559
0.667,0.594,0.0613,0.281,0.173,0,0,0,0,0,0,0.331
0.667,0.594,0.0658,0.281,0.168,0,0,0,0,0,0,0.323
0.667,0.594,0.0703,0.281,0.164,0,0,0,0,0,0,0
0.644,0.601,0.0923,0.246,0.192,0,0,0,0,0,0,0.42
0.333,0.597,0.0818,0.281,0.164,0,0,0,0,0,0,0.18
0.333,0.609,0.0933,0.281,0.165,0,0,0,0,0,0,0.0451
0.356,0.629,0.12,0.271,0.177,0,0,0,0,0,0,0.167
0.939,0.768,0.369,0.0257,0.422,0,0,0,0,0,0,0.31
0.978,0.782,0.518,0.00936,0.523,0,0,0,0,0,0,0.0451
0.939,0.753,0.672,0.0257,0.647,0,0,0,0,0,0,0.0902
1,0.7,0.644,0.0889,0.651,0,0,0,0,0,0,0
1,0.598,0.237,0.281,0.305,0,0,0,0,0,0,0.0451
1,0.579,0.139,0.281,0.201,0,0,0,0,0,0,0
1,0.565,0.0277,0.395,0.0635,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.564,0.017,0.386,0.0512,0,0,0,0,0,0,0
1,0.565,0.0168,0.412,0.053,0,0,0,0,0,0,0
0.894,0.566,0.027,0.281,0.103,0,0,0,0,0,0,0.051
0.667,0.578,0.0352,0.281,0.157,0,0,0,0,0,0,0.322
0.394,0.578,0.0307,0.351,0.115,0,0,0,0,0,0,0.177
0.333,0.594,0.0498,0.281,0.18,0,0,0,0,0,0,0.135
0.333,0.594,0.056,0.281,0.178,0,0,0,0,0,0,0
0.333,0.594,0.0613,0.281,0.173,0,0,0,0,0,0,0
0.333,0.594,0.0658,0.281,0.168,0,0,0,0,0,0,0.0451
0.333,0.594,0.0703,0.281,0.164,0,0,0,0,0,0,0.271
0.333,0.592,0.0724,0.29,0.156,0,0,0,0,0,0,0.18
0.333,0.577,0.0388,0.377,0.0867,0,0,0,0,0,0,0.0451
0.522,0.636,0.14,0.201,0.229,0.527,0.483,0,0,0,0,0.271
0.561,0.662,0.174,0.185,0.248,0.277,0,0,0,0,0,0.0902
0.606,0.696,0.245,0.166,0.291,0.435,0.483,0,0,0,0,0.316
0.772,0.735,0.429,0.0959,0.435,0.319,0,0,0,0,0.317,0.243
1,0.766,0.711,0,0.682,0,0,0,0,0,0.15,0.225
1,0.713,0.724,0.0444,0.741,0,0,0,0,0,0,0.318
1,0.63,0.457,0.14,0.559,0,0,0,0,0,0,0.0451
1,0.586,0.185,0.264,0.261,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.564,0.0181,0.332,0.0517,0,0,0,0,0,0.233,0.0451
1,0.561,0.0253,0.14,0.0723,0,0,0,0,0,0,0.135
0.811,0.568,0.0356,0.175,0.147,0,0,0,0,0,0,0.689
0.667,0.591,0.0542,0.14,0.262,0,0,0,0,0,0,0
0.667,0.616,0.0697,0.14,0.305,0,0,0,0,0,0.233,0.115
0.394,0.599,0.0555,0.255,0.204,0,0,0,0,0,0,0.13
0.333,0.594,0.056,0.281,0.178,0,0,0,0,0,0,0.0902
0.333,0.594,0.0613,0.281,0.173,0,0,0,0,0,0,0.0451
0.333,0.594,0.0658,0.281,0.168,0,0,0,0,0,0,0.0902
0.333,0.594,0.0703,0.281,0.164,0,0,0,0,0,0,0.271
0.333,0.594,0.0766,0.281,0.164,0,0,0,0,0,0,0.316
0.439,0.61,0.104,0.236,0.199,0,0,0,0,0,0,0.0902
0.667,0.653,0.17,0.14,0.278,0,0,0,0,0,0.233,0
0.939,0.734,0.29,0.0257,0.383,0,0,0,0,0,0,0.18
1,0.781,0.39,0,0.444,0,0,0,0,0,0.233,0
1,0.787,0.533,0,0.536,0,0,0,0,0,0,0.0902
1,0.766,0.711,0,0.682,0,0,0,0,0,0,0.0902
1,0.713,0.724,0.0444,0.741,0,0,0,0,0,0,0.0562
0.894,0.625,0.409,0.185,0.499,0,0,0,0,0,0,0
0.772,0.578,0.135,0.29,0.197,0,0,0,0,0,0,0
1,0.565,0.017,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.878,0.578,0.0341,0.299,0.145,0,0,0,0,0,0,0.477
0.667,0.591,0.0524,0.281,0.178,0,0,0,0,0,0.117,0.118
0.667,0.604,0.0956,0.229,0.227,0.229,0.367,0,0,0,0.117,0.316
0.667,0.623,0.157,0.14,0.304,0.805,0.117,0,0,0,0,0.0902
0.544,0.612,0.149,0.192,0.251,0.571,0,0,0,0,0,0.135
0.333,0.594,0.107,0.281,0.168,0.616,0,0,0,0,0,0.18
0.456,0.604,0.159,0.229,0.206,0.368,0,0,0,0,0,0.0451
0.544,0.612,0.206,0.192,0.235,0,0,0,0,0,0,0.18
0.456,0.612,0.203,0.229,0.205,0,0,0,0,0,0,0.226
0.667,0.655,0.306,0.14,0.279,0,0,0,0,0,0,0.0902
0.667,0.686,0.319,0.14,0.288,0,0,0,0,0,0.233,0.135
0.789,0.737,0.414,0.0889,0.37,0,0,0,0,0,0,0.135
1,0.786,0.63,0,0.543,0,0,0,0,0,0,0.0451
1,0.765,0.791,0,0.691,0,0,0,0,0,0,0.0451
1,0.722,0.849,0,0.837,0,0,0,0,0,0,0.0902
1,0.66,0.697,0,0.798,0,0,0,0,0,0,0
1,0.604,0.407,0,0.484,0,0,0,0,0,0,0
1,0.568,0.0826,0.295,0.113,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.878,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.789,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.574,0.0282,0.37,0.0972,0,0,0,0,0,0,0.135
1,0.591,0.0524,0.281,0.178,0,0,0,0,0,0,0.195
1,0.615,0.119,0.178,0.274,0,0,0,0,0,0.117,0.0902
0.961,0.648,0.217,0.0164,0.417,0.168,0.117,0,0,0,0.35,0.0902
0.461,0.605,0.129,0.227,0.22,0.684,0.867,0,0,0,0,0.0451
0.333,0.594,0.107,0.281,0.168,0.154,0,0,0,0,0,0.18
0.333,0.594,0.118,0.281,0.164,0,0,0,0,0,0,0.135
0.333,0.594,0.136,0.281,0.164,0.297,0.367,0,0,0,0,0.18
0.622,0.627,0.266,0.159,0.261,0.635,0.117,0,0,0,0,0.0451
0.956,0.675,0.36,0.0889,0.321,0.48,0,0,0,0,0,0.0451
1,0.746,0.47,0,0.406,0,0,0,0,0,0,0.0451
1,0.782,0.511,0,0.448,0,0,0,0,0,0.367,0.226
1,0.786,0.63,0,0.543,0,0,0,0,0,0.1,0.316
1,0.765,0.791,0,0.691,0,0,0,0,0,0,0.18
1,0.722,0.849,0,0.837,0,0,0,0,0,0.233,0
1,0.653,0.637,0.0515,0.729,0,0,0,0,0,0,0.086
1,0.579,0.144,0.313,0.195,0,0,0,0,0,0,0
1,0.565,0.0179,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.564,0.0172,0.377,0.0513,0,0,0,0,0,0,0.0902
1,0.563,0.0208,0.281,0.0616,0,0,0,0,0,0,0.316
0.706,0.567,0.0218,0.36,0.0807,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.356,0.576,0.0349,0.367,0.0962,0,0,0,0,0,0,0.18
0.394,0.599,0.0747,0.255,0.189,0,0,0,0,0,0,0.271
0.333,0.594,0.0703,0.281,0.164,0,0,0,0,0,0,0.0451
0.25,0.587,0.0609,0.316,0.135,0,0,0,0,0,0,0.135
0.333,0.597,0.0818,0.281,0.164,0,0,0,0,0,0,0.0902
0.439,0.626,0.122,0.236,0.201,0,0,0,0,0,0,0.406
0.667,0.635,0.13,0.255,0.19,0,0,0,0,0,0,0.271
0.939,0.696,0.245,0.166,0.291,0,0,0.407,0.263,0.567,0,0
1,0.713,0.361,0.14,0.374,0,0,0.459,0,0.417,0,0.316
1,0.699,0.48,0.14,0.472,0,0,0.728,0,0,0,0
1,0.684,0.621,0.0959,0.661,0,0,0.11,0,0,0.233,0
1,0.612,0.329,0.229,0.409,0,0,0,0,0,0,0
1,0.579,0.139,0.281,0.201,0,0,0,0,0,0,0
1,0.566,0.0658,0.281,0.106,0,0,0,0,0,0,0.0902
1,0.563,0.0341,0.281,0.071,0,0,0,0,0,0,0.0451
1,0.563,0.0222,0.281,0.0567,0,0,0,0,0,0,0.0902
1,0.564,0.0168,0.36,0.0509,0,0,0,0,0,0,0.0902
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.564,0.0188,0.377,0.0608,0,0,0,0,0,0,0.212
0.789,0.563,0.0218,0.325,0.0722,0,0,0,0,0,0,0.315
0.439,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0.22
0.667,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.561,0.589,0.044,0.306,0.156,0,0,0,0,0,0.233,0.0902
0.333,0.594,0.056,0.281,0.178,0,0,0,0,0,0,0.0902
0.333,0.594,0.0613,0.281,0.173,0,0,0.0887,0.0702,0,0,0.0451
0.333,0.594,0.0658,0.281,0.168,0,0,0.665,0.193,0.233,0,0.0902
0.333,0.594,0.0703,0.281,0.164,0,0,0.136,0,0,0.233,0.135
0.333,0.594,0.0766,0.281,0.164,0,0,0,0,0,0,0.135
0.356,0.597,0.0818,0.281,0.164,0,0,0,0,0,0,0.269
0.667,0.609,0.0933,0.281,0.165,0,0,0,0,0,0,0.273
0.689,0.629,0.12,0.271,0.177,0,0,0,0,0,0,0.216
1,0.709,0.265,0.14,0.313,0,0,0,0,0,0,0.135
1,0.713,0.361,0.14,0.374,0,0,0,0,0,0,0
1,0.699,0.48,0.14,0.472,0,0,0,0,0,0,0.135
1,0.672,0.541,0.14,0.571,0.64,0.483,0,0,0,0,0
1,0.605,0.283,0.255,0.357,0.255,0,0,0,0,0,0
1,0.578,0.119,0.325,0.18,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.564,0.0188,0.377,0.0608,0,0,0,0,0,0,0.117
0.978,0.567,0.0351,0.175,0.142,0,0,0,0,0,0.817,0.113
0.644,0.584,0.0414,0.246,0.188,0,0,0,0,0,0.117,0.333
0.333,0.59,0.043,0.281,0.178,0,0,0,0,0,0,0.278
0.333,0.594,0.0498,0.281,0.18,0,0,0,0,0,0,0.153
0.333,0.594,0.056,0.281,0.178,0.199,0.233,0,0,0,0,0.226
0.333,0.594,0.0613,0.281,0.173,0.595,0,0,0,0,0,0.18
0.439,0.603,0.0822,0.236,0.204,0,0,0,0,0,0.317,0.316
0.478,0.606,0.0926,0.22,0.214,0,0,0,0,0,0.15,0.0451
0.333,0.594,0.0766,0.281,0.164,0,0,0,0,0,0,0.271
0.333,0.597,0.0818,0.281,0.164,0,0,0,0,0,0,0.0902
0.333,0.609,0.0933,0.281,0.165,0,0,0,0,0,0,0.226
0.333,0.625,0.113,0.281,0.169,0,0,0,0,0,0,0
0.189,0.605,0.0849,0.342,0.124,0,0,0.0443,0.0702,0,0,0
0.667,0.713,0.361,0.14,0.374,0,0,0.528,0.193,0.233,0,0
0.772,0.718,0.564,0.0959,0.551,0,0,0.755,0,0,0,0
1,0.725,0.804,0,0.831,0,0,0.503,0,0,0,0.135
1,0.632,0.456,0.159,0.551,0,0,0,0,0,0,0
1,0.579,0.139,0.281,0.201,0,0,0,0,0,0,0.0902
1,0.567,0.0587,0.325,0.0977,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.917,0.565,0.0163,0.412,0.0509,0,0,0,0,0,0.0667,0.0451
0.917,0.564,0.0162,0.36,0.0509,0,0,0,0,0,0.4,0.0451
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.57,0.0266,0.332,0.112,0,0,0,0,0,0.317,0.155
0.728,0.587,0.046,0.211,0.214,0,0,0,0,0,0.617,0.329
0.644,0.614,0.0677,0.15,0.297,0,0,0,0,0,0,0.137
0.333,0.594,0.0498,0.281,0.18,0,0,0,0,0,0,0.135
0.333,0.594,0.056,0.281,0.178,0,0,0,0,0,0,0.0451
0.228,0.585,0.0459,0.325,0.136,0,0,0,0,0,0,0
0,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.189,0.581,0.0479,0.342,0.115,0,0,0,0,0,0,0.316
0.333,0.594,0.0766,0.281,0.164,0,0,0,0,0,0,0.358
0.0611,0.57,0.0278,0.395,0.0716,0,0,0,0,0,0,0
0.106,0.582,0.0447,0.377,0.0874,0,0,0,0,0,0,0.0902
0.356,0.629,0.12,0.271,0.177,0,0,0,0,0,0,0.271
0.939,0.768,0.369,0.0257,0.422,0,0,0,0,0,0,0.18
1,0.787,0.533,0,0.536,0.347,0.483,0,0,0,0.233,0.0902
1,0.766,0.711,0,0.682,0,0,0,0,0,0,0.0451
1,0.725,0.804,0,0.831,0,0,0,0,0,0,0
1,0.622,0.393,0.194,0.48,0,0,0,0,0,0,0.0741
1,0.579,0.139,0.281,0.201,0,0,0,0,0,0,0.282
1,0.567,0.0587,0.325,0.0977,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.57,0.0266,0.332,0.112,0,0,0,0,0,0.233,0.213
0.728,0.58,0.0382,0.255,0.174,0,0,0,0,0,0,0.635
0.561,0.581,0.0331,0.325,0.137,0,0,0,0,0,0,0.153
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.574,0.03,0.377,0.0902,0,0,0,0,0,0,0.0451
0.333,0.594,0.0613,0.281,0.173,0,0,0,0,0,0,0.0902
0.333,0.594,0.0658,0.281,0.168,0,0,0,0,0,0,0.135
0.333,0.577,0.0386,0.36,0.1,0,0,0,0,0,0,0.0902
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.628,0.669,0.184,0.182,0.253,0,0,0,0,0,0,0.226
1,0.781,0.39,0,0.444,0.709,0.483,0,0,0,0,0.0902
1,0.787,0.533,0,0.536,0.762,0,0,0,0,0,0.361
1,0.766,0.711,0,0.682,0.586,0,0,0,0,0,0.271
1,0.725,0.804,0,0.831,0.689,0,0,0,0,0,0.257
1,0.657,0.63,0.0444,0.753,0,0,0,0,0,0,0.0451
1,0.582,0.167,0.255,0.236,0,0,0,0,0,0,0
1,0.565,0.0284,0.395,0.0635,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.576,0.0359,0.37,0.0984,0,0,0,0,0,0,0.0451
1,0.594,0.072,0.281,0.18,0,0,0,0,0,0,0.18
1,0.615,0.145,0.178,0.269,0,0,0,0,0,0,0.334
0.878,0.641,0.23,0.0515,0.373,0,0,0,0,0,0,0.367
0.789,0.623,0.196,0.14,0.284,0,0,0,0,0,0.367,0.0451
0.711,0.598,0.13,0.262,0.18,0,0,0,0,0,0.1,0.361
0.667,0.594,0.136,0.281,0.164,0,0,0,0,0,0,0.226
0.667,0.598,0.151,0.281,0.164,0,0,0,0,0,0,0.0451
0.628,0.624,0.199,0.246,0.194,0,0,0,0,0,0,0.18
0.661,0.687,0.317,0.143,0.287,0,0,0,0,0,0.367,0.27
1,0.782,0.511,0,0.448,0,0,0,0,0,0.1,0.198
1,0.786,0.63,0,0.543,0,0,0,0,0,0,0.221
1,0.765,0.791,0,0.691,0,0,0,0,0,0,0.0987
1,0.722,0.849,0,0.837,0,0,0,0,0,0,0.0608
1,0.643,0.572,0.0865,0.658,0,0,0,0,0,0,0.086
1,0.58,0.17,0.262,0.22,0,0,0,0,0,0,0.0451
1,0.566,0.0721,0.288,0.102,0,0,0,0,0,0,0
1,0.564,0.0356,0.332,0.067,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.878,0.564,0.0207,0.351,0.0665,0,0,0,0,0,0,0.598
0.667,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.667,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.667,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.872,0.608,0.124,0.213,0.238,0,0,0,0,0,0,0
1,0.623,0.18,0.14,0.295,0,0,0,0,0,0,0.226
0.878,0.612,0.162,0.192,0.242,0,0,0,0,0,0,0.271
0.667,0.594,0.118,0.281,0.164,0,0,0,0,0,0,0.361
0.667,0.594,0.136,0.281,0.164,0,0,0,0,0,0,0.0451
0.667,0.598,0.151,0.281,0.164,0,0,0,0,0,0,0.496
0.75,0.644,0.254,0.194,0.236,0,0,0,0,0,0,0.0451
0.667,0.686,0.319,0.14,0.288,0,0,0,0,0,0,0.18
0.789,0.737,0.414,0.0889,0.37,0,0,0,0,0,0.233,0.0451
1,0.786,0.63,0,0.543,0.487,0.233,0,0,0,0,0
1,0.765,0.791,0,0.691,0.497,0,0,0,0,0,0
1,0.722,0.849,0,0.837,0.604,0,0,0,0,0,0.135
1,0.653,0.637,0.0515,0.729,0.602,0,0,0,0,0,0
1,0.591,0.278,0.14,0.34,0.611,0,0,0,0,0,0
1,0.567,0.0808,0.262,0.113,0.525,0,0,0,0,0,0.321
1,0.564,0.0259,0.36,0.0619,0,0,0,0,0,0,0.083
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.596,0.056,0.147,0.267,0,0,0.437,0.544,0.233,0.233,0.621
1,0.641,0.0965,0,0.433,0,0,0.45,0,0,0,0.34
1,0.652,0.117,0,0.438,0,0,0.335,0,0,0,0.406
1,0.652,0.136,0,0.432,0,0,0.563,0,0,0,0.271
0.728,0.628,0.114,0.115,0.318,0,0,0.604,0,0,0.233,0.0451
0.667,0.623,0.115,0.14,0.285,0.309,0.317,0.673,0,0,0,0.0451
0.667,0.623,0.124,0.14,0.278,0.241,0.167,0,0,0,0,0.135
0.561,0.614,0.117,0.185,0.241,0,0,0,0,0,0,0.0902
0.333,0.597,0.0818,0.281,0.164,0,0,0,0,0,0,0.0902
0.333,0.609,0.0933,0.281,0.165,0,0,0,0,0,0,0.0902
0.356,0.629,0.12,0.271,0.177,0,0,0.0214,0.0702,0,0.317,0.135
0.772,0.733,0.313,0.0959,0.36,0,0,0.382,0.474,0.55,1,0.0451
1,0.787,0.533,0,0.536,0.377,0.483,0.347,0,0.683,0.333,0.0902
1,0.766,0.711,0,0.682,0.583,0,0.45,0,0,0,0
1,0.713,0.724,0.0444,0.741,0.895,0,0.633,0,0,0,0.0673
1,0.63,0.457,0.14,0.559,0,0,0,0,0,0,0.0788
1,0.59,0.222,0.229,0.308,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.564,0.0172,0.377,0.0513,0,0,0,0,0,0,0
1,0.563,0.0208,0.281,0.0616,0,0,0,0,0,0,0.135
1,0.567,0.0281,0.271,0.109,0,0,0,0,0,0,0.118
0.917,0.601,0.0661,0.0608,0.326,0,0,0,0,0,0,0.671
0.894,0.632,0.0866,0.0444,0.392,0,0,0,0,0,0,0.58
0.478,0.606,0.0633,0.22,0.236,0,0,0.0657,0.263,0.0667,0,0.0902
0.333,0.594,0.056,0.281,0.178,0,0,0.538,0,0.417,0,0.0451
0.333,0.594,0.0613,0.281,0.173,0,0,0.203,0,0,0,0.0451
0.333,0.594,0.0658,0.281,0.168,0,0,0,0,0,0,0
0.606,0.618,0.115,0.166,0.257,0,0,0,0,0,0.817,0
0.667,0.623,0.137,0.14,0.276,0,0,0,0,0,0.117,0.271
0.667,0.629,0.147,0.14,0.276,0,0,0,0,0,0,0.0902
0.689,0.657,0.176,0.131,0.286,0,0,0.563,0.263,0.317,0,0
1,0.744,0.307,0,0.405,0,0,0.347,0,0.417,0,0.0451
1,0.781,0.39,0,0.444,0,0,0,0,0,0,0.554
1,0.787,0.533,0,0.536,0,0,0,0,0,0,0.451
1,0.766,0.711,0,0.682,0,0,0,0,0,0.233,0.592
1,0.713,0.724,0.0444,0.741,0.707,0.483,0,0,0,0,0.138
1,0.63,0.457,0.14,0.559,0,0,0,0,0,0,0.189
1,0.582,0.167,0.255,0.236,0,0,0,0,0,0,0.235
1,0.566,0.0658,0.281,0.106,0,0,0,0,0,0,0
1,0.564,0.0259,0.36,0.0619,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.564,0.0162,0.377,0.0509,0,0,0,0,0,0,0.0451
1,0.563,0.0162,0.325,0.0509,0,0,0,0,0,0.233,0
1,0.564,0.0188,0.377,0.0608,0,0,0,0,0,0,0.195
1,0.569,0.0321,0.236,0.133,0,0,0,0,0,0,0.0945
0.728,0.58,0.0382,0.255,0.174,0,0,0,0,0,0,0.254
0.667,0.59,0.043,0.281,0.178,0,0,0,0,0,0,0.149
0.394,0.57,0.022,0.395,0.0747,0,0,0,0,0,0,0
0.333,0.574,0.03,0.377,0.0902,0,0,0,0,0,0,0.0451
0.333,0.594,0.0613,0.281,0.173,0,0,0,0,0,0,0.0451
0.333,0.594,0.0658,0.281,0.168,0,0,0,0,0,0,0
0.333,0.594,0.0703,0.281,0.164,0,0,0,0,0,0,0.0451
0.333,0.594,0.0766,0.281,0.164,0,0,0,0,0,0,0.271
0.228,0.585,0.0592,0.325,0.128,0,0,0,0,0,0,0.18
0.272,0.602,0.0803,0.306,0.144,0,0,0.131,0.263,0.233,0,0.135
0.439,0.647,0.148,0.236,0.208,0,0,0,0,0,0.233,0
0.667,0.709,0.265,0.14,0.313,0,0,0,0,0,0,0.316
0.667,0.713,0.361,0.14,0.374,0,0,0,0,0,0,0.135
0.772,0.645,0.287,0.255,0.297,0,0,0,0,0,0,0.0902
1,0.618,0.279,0.281,0.311,0,0,0,0,0,0,0.22
1,0.602,0.252,0.29,0.316,0,0,0,0,0,0,0.148
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.894,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.667,0.577,0.0322,0.306,0.139,0,0,0,0,0,0,0.167
0.667,0.59,0.043,0.281,0.178,0,0,0,0,0,0,0.414
0.667,0.594,0.0498,0.281,0.18,0,0,0,0,0,0,0.171
